date,followers,following,media,avg_likes,avg_comments
2025-08-31,21373,77,85,815.9375,26.625
2025-08-30,21371,77,85,815.9375,26.625
2025-08-29,21367,77,85,815.8125,26.625
2025-08-28,21371,77,85,815.75,26.625
2025-08-27,21373,77,85,815.75,26.625
2025-08-26,21368,77,85,815.625,26.625
2025-08-25,21362,77,85,815.625,26.625
2025-08-24,21362,77,85,815.625,26.625
2025-08-23,21363,77,85,815.625,26.625
2025-08-22,21365,77,85,815.625,26.5625
2025-08-21,21361,77,85,815.625,26.5625
2025-08-20,21365,77,85,815.75,26.5625
2025-08-19,21359,77,85,815.8125,26.5625
2025-08-18,21355,77,85,815.8125,26.5625
2025-08-17,21353,77,85,815.75,26.5625
2025-08-16,21356,77,85,814.8125,26.5625
2025-08-15,21360,77,85,814.8125,26.5625
2025-08-14,21358,77,85,814.8125,26.5625
2025-08-13,21357,78,85,814.75,26.5625
2025-08-12,21358,78,85,814.75,26.5625
2025-08-11,21357,78,85,814.4375,26.5625
2025-08-10,21345,78,85,814.3125,26.5625
2025-08-09,21344,78,85,814.3125,26.5625
2025-08-08,21343,78,85,814.375,26.5625
2025-08-07,21344,78,85,814.375,26.5625
2025-08-06,21346,78,85,814.625,26.5625
2025-08-05,21340,78,85,814.625,26.5625
2025-08-04,21333,78,85,814.5,26.5625
2025-08-03,21331,78,85,814.5,26.5625
2025-08-02,21335,78,85,814.5,26.5625
2025-08-01,21332,78,85,814.5,26.5625
2025-07-31,21333,78,85,814.3125,26.5625
2025-07-30,21331,78,85,814.625,26.5625
2025-07-29,21332,78,85,814.625,26.5625
2025-07-28,21329,78,85,814.5,26.5625
2025-07-27,21323,78,85,814.5625,26.5625
2025-07-26,21324,78,85,814.5625,26.5625
2025-07-25,21322,78,85,814.5625,26.5625
2025-07-24,21330,78,85,814.5625,26.5625
2025-07-23,21322,78,85,814.5625,26.5625
2025-07-22,21319,78,85,814.4375,26.5625
2025-07-21,21320,78,85,814.4375,26.5625
2025-07-20,21325,78,85,814.5625,26.5625
2025-07-19,21325,78,85,814.75,26.5625
2025-07-18,21326,78,85,814.75,26.5625
2025-07-17,21321,78,85,814.75,26.5625
2025-07-16,21323,78,85,814.75,26.5625
2025-07-15,21325,78,85,814.8125,26.5625
2025-07-14,21320,78,85,814.875,26.5625
2025-07-13,21317,78,85,814.875,26.5625
2025-07-12,21319,78,85,814.875,26.5625
2025-07-11,21315,78,85,814.875,26.625
2025-07-10,21315,78,85,814.875,26.625
2025-07-09,21313,78,85,814.875,26.625
2025-07-08,21318,78,85,814.3125,26.625
2025-07-07,21318,78,85,814.1875,26.625
2025-07-06,21323,78,85,813.5625,26.625
2025-07-05,21325,78,85,813.4375,26.625
2025-07-04,21329,78,85,814.0,26.625
2025-07-03,21333,78,85,814.0625,26.625
2025-07-02,21332,78,85,814.0,26.625
2025-07-01,21329,78,85,814.0625,26.625
2025-06-30,21334,78,85,814.0625,26.625
2025-06-29,21331,78,85,814.0625,26.625
2025-06-28,21332,78,85,814.1875,26.625
2025-06-27,21330,78,85,814.25,26.625
2025-06-26,21331,78,85,815.1875,26.625
2025-06-25,21333,78,85,815.1875,26.625
2025-06-24,21330,78,85,815.1875,26.625
2025-06-23,21330,78,85,815.1875,26.625
2025-06-22,21332,78,85,815.1875,26.625
2025-06-21,21332,78,85,815.25,26.625
2025-06-20,21332,78,85,815.1875,26.625
2025-06-19,21336,78,85,815.25,26.625
2025-06-18,21335,78,85,815.25,26.625
2025-06-17,21334,78,85,815.3125,26.625
2025-06-16,21328,78,85,815.3125,26.625
2025-06-15,21333,78,85,815.3125,26.625
2025-06-14,21331,78,85,815.4375,26.625
